de	1660000000
en	1530000000
y	1530000000
no	1410000000
del	1340000000
que	898000000
por	739000000
para	710000000
como	520000000
el	413000000
sobre	410000000
este	401000000
este	401000000
con	358000000
pagina	303000000
todo	295000000
pero	269000000
desde	250000000
su	239000000
buscar	232000000
dos	219000000
estado	216000000
informacion	214000000
enviar	212000000
hasta	211000000
muy	207000000
cuando	204000000
mejor	199000000
nuevo	196000000
entre	195000000
tiempo	194000000
ver	186000000
parte	181000000
lo	179000000
vez	176000000
vida	175000000
donde	172000000
si	171000000
trabajo	169000000
ano	168000000
cada	168000000
mundo	166000000
tambien	163000000
ya	162000000
tu	161000000
porque	155000000
al	153000000
nacional	153000000
alla	150000000
bien	148000000
mismo	145000000
espanol	142000000
hacer	142000000
siguiente	141000000
mas	140000000
así	139000000
menos	138000000
empresa	137000000
amigo	136000000
sitio	136000000
ahora	135000000
que	134000000
servicio	134000000
aqui	133000000
otro	133000000
resultado	132000000
siempre	132000000
tipo	132000000
ser	131000000
nombre	130000000
pais	129000000
uno	129000000
historia	127000000
programa	124000000
tanto	124000000
casa	122000000
sulo	122000000
ayuda	121000000
cuenta	119000000
gran	119000000
grupo	119000000
hoy	119000000
lugar	119000000
mucho	117000000
sin	116000000
semana	115000000
musica	114000000
contacto	111000000
ciudad	110000000
durante	110000000
direccion	109000000
tres	109000000
caso	107000000
esto	106000000
forma	105000000
poder	105000000
anterior	104000000
autor	104000000
centro	104000000
numero	104000000
sido	103000000
uso	103000000
gobierno	102000000
nada	102000000
nuestro	98900000
solo	98900000
contra	98800000
internacional	98700000
quien	98600000
nivel	98200000
haber	97600000
sistema	97600000
titulo	97600000
momento	97500000
mi	97400000
desarrollo	97000000
cual	96800000
pues	96300000
acuerdo	95300000
medio	95300000
precio	94700000
politica	94600000
hora	93800000
estar	93700000
obra	92800000
aunque	92700000
fin	91500000
texto	91300000
tema	91200000
despues	91100000
como	90400000
segun	90300000
poco	90000000
cualquier	89600000
yo	89000000
hecho	88100000
nunca	87500000
un	87300000
decir	84800000
tener	84200000
ultimo	84100000
derecho	84000000
algo	83700000
segundo	83500000
seguridad	82500000
ese	82200000
proceso	81500000
especial	80700000
conocer	80600000
manera	79900000
ademas	79300000
bajo	79200000
comunicación	79100000
publico	77600000
familia	77200000
dentro de	76400000
gente	76200000
imagen	76100000
vista	75700000
ni	75400000
sino	75300000
el	75200000
oficial	75000000
atencion	74800000
puesto	74800000
amor	74200000
proyecto	74200000
punto	73600000
comprar	73000000
interes	72500000
luego	72500000
lado	72300000
frente	72000000
hombre	71800000
proximo	71400000
buen	71100000
estudio	70900000
antes	70400000
mayor	70400000
libro	70300000
ir	70100000
dar	69600000
primero	69500000
mercado	69400000
encontrar	69000000
varios	68900000
si	68600000
completo	68400000
mes	68400000
profesional	68200000
volver	68000000
saber	67600000
mientras	66900000
hacia	66300000
tecnica	66300000
modelo	66200000
pasado	66100000
igual	65600000
paises	65300000
zona	65300000
falta	65200000
entrada	64200000
